date,home_team,away_team,tournament,match_year,elo_diff,home_elo,away_elo,home_form_pts,away_form_pts,form_pts_diff,home_form_gf,away_form_gf,home_form_ga,away_form_ga,home_is_host,away_is_host,host_diff,is_knockout,result
1917-10-14,Uruguay,Argentina,Copa América,1917,-80.0,1890.0,1970.0,1.8,1.8,0.0,1.6,1.6,0.8,1.2,0,0,0,0,Home Win
1917-10-16,Uruguay,Brazil,Friendly,1917,2.0,1890.0,1888.0,1.8,0.8,1.0,1.2,1.0,0.6,2.2,0,0,0,0,Home Win
1917-12-23,Switzerland,Austria,Friendly,1917,-374.0,1499.0,1873.0,0.8,1.8,-1.0,1.2,2.0,2.2,2.6,0,0,0,0,Away Win
1917-12-26,Switzerland,Austria,Friendly,1917,-374.0,1499.0,1873.0,0.8,2.4,-1.5999999999999999,1.0,2.0,1.6,1.0,0,0,0,0,Home Win
1918-05-09,Austria,Switzerland,Friendly,1918,305.0,1816.0,1511.0,1.8,1.4,0.40000000000000013,2.0,1.4,1.4,1.6,0,0,0,0,Home Win
1918-05-26,Sweden,Norway,Friendly,1918,290.0,1668.0,1378.0,2.2,0.4,1.8000000000000003,3.2,1.0,1.0,3.2,0,0,0,0,Home Win
1918-07-18,Uruguay,Argentina,Copa Premio Honor Uruguayo,1918,-33.0,1943.0,1976.0,2.4,1.8,0.5999999999999999,1.8,1.4,0.4,0.8,0,0,0,0,Draw
1918-07-28,Uruguay,Argentina,Copa Premio Honor Uruguayo,1918,-33.0,1943.0,1976.0,2.6,1.4,1.2000000000000002,2.0,1.2,0.4,1.0,0,0,0,0,Home Win
1918-08-15,Argentina,Uruguay,Copa Premio Honor Argentino,1918,33.0,1976.0,1943.0,0.8,2.6,-1.8,1.2,2.4,1.6,0.6,0,0,0,0,Draw
1918-08-25,Argentina,Uruguay,Copa Premio Honor Argentino,1918,33.0,1976.0,1943.0,1.0,2.2,-1.2000000000000002,1.2,1.6,1.4,0.6,0,0,0,0,Home Win
1918-09-15,Norway,Sweden,Friendly,1918,-290.0,1378.0,1668.0,0.4,2.2,-1.8000000000000003,0.6,2.6,2.6,0.6,0,0,0,0,Home Win
